Raport2: CUMPARATE DE MAI MULTE ORI MAI MARI DECAT 0

1 """Blanketed"" Eggplant ":
Rating: 4.375
Pret: 44.0

1605 Buttermilk Fried Chicken with Spinach Tomato Salad :
Rating: 3.75
Pret: 48.0

1606 Buttermilk Fried Shrimp :
Rating: 4.375
Pret: 72.0

1607 Buttermilk Fruitcake :
Rating: 4.375
Pret: 27.0

1608 Buttermilk Green Goddess Dressing :
Rating: 5.0
Pret: 88.0

1609 Buttermilk Ice Cream :
Rating: 5.0
Pret: 75.0

1610 Buttermilk Pancakes with Blueberry Compote :
Rating: 4.375
Pret: 76.0

1611 Buttermilk Pancakes with Caramelized Bananas :
Rating: 3.75
Pret: 45.0

1612 Buttermilk Panna Cotta with Berries and Vanilla Sabayon :
Rating: 5.0
Pret: 90.0

1613 Buttermilk Panna Cotta with Rhubarb-Strawberry Jelly :
Rating: 5.0
Pret: 86.0

1614 Buttermilk Panna Cotta with Tropical Fruit :
Rating: 4.375
Pret: 70.0

1615 Buttermilk Pie Crust Dough :
Rating: 5.0
Pret: 18.0

1616 Buttermilk Rye Crepes :
Rating: 0.0
Pret: 66.0

1617 Buttermilk Slaw :
Rating: 3.125
Pret: 23.0

1618 Buttermilk Spoon Bread :
Rating: 3.75
Pret: 97.0

1619 Buttermilk-Blue Cheese Dip :
Rating: 4.375
Pret: 43.0

1620 Buttermilk-Herb Pancakes Topped with Caviar :
Rating: 4.375
Pret: 34.0

1621 Buttermilk-Lemon Chess Pie :
Rating: 3.75
Pret: 43.0

1622 Buttermilk-Spinach Spaetzle :
Rating: 2.5
Pret: 34.0

1623 Butternut Squash & Apple Soup :
Rating: 4.375
Pret: 65.0

1624 Butternut Squash & Apple Soup with Melted Blue Cheese :
Rating: 4.375
Pret: 48.0

1625 Butternut Squash Chowder with Pears and Ginger :
Rating: 3.75
Pret: 18.0

1626 Butternut Squash Flan with Parmesan Sage Sauce :
Rating: 4.375
Pret: 97.0

1627 Butternut Squash Galette :
Rating: 5.0
Pret: 71.0

1628 Butternut Squash Gnocchi with Duck Confit and Swiss Chard :
Rating: 4.375
Pret: 65.0

1629 Butternut Squash Gnocchi with Sage Brown Butter :
Rating: 4.375
Pret: 73.0

1630 Butternut Squash Gratin with Rosemary Breadcrumbs :
Rating: 4.375
Pret: 37.0

1631 Butternut Squash Lasagna Rolls :
Rating: 4.375
Pret: 64.0

1632 Butternut Squash Latkes with Sage and Pine Nut Yogurt Sauce :
Rating: 3.125
Pret: 72.0

1633 Butternut Squash Polenta :
Rating: 4.375
Pret: 71.0

1634 Butternut Squash Soup with Cider Cream :
Rating: 4.375
Pret: 61.0

1635 Butternut Squash Soup with Pancetta and Tomatoes :
Rating: 3.75
Pret: 68.0

1636 Butternut Squash Soup with Parmesan and Fried Sage Leaves :
Rating: 4.375
Pret: 29.0

1637 Butternut Squash Soup with Pumpkin Butter :
Rating: 3.75
Pret: 54.0

1638 Butternut Squash Soup with Spiced Crème Fraîche :
Rating: 5.0
Pret: 56.0

1639 Butternut Squash Soup with Star Anise and Ginger Shrimp :
Rating: 4.375
Pret: 93.0

1640 Butternut Squash Tart with Fried Sage :
Rating: 2.5
Pret: 30.0

1641 Butternut Squash Vegducken :
Rating: 4.375
Pret: 78.0

1642 Butternut Squash Vegducken With Mushroom-Cranberry Stuffing :
Rating: 4.375
Pret: 12.0

1643 Butternut Squash and Apple Soup :
Rating: 3.75
Pret: 37.0

1644 Butternut Squash and Carrot Purée with Maple Syrup :
Rating: 4.375
Pret: 11.0

1645 Butternut Squash and Corn Chowder :
Rating: 3.75
Pret: 52.0

1646 Butternut Squash and Creamed-Spinach Gratin :
Rating: 4.375
Pret: 100.0

1647 Butternut Squash and Ginger Relish :
Rating: 4.375
Pret: 74.0

1648 Butternut Squash and Hazelnut Lasagne :
Rating: 5.0
Pret: 92.0

1649 Butternut Squash and Mushroom Lasagna :
Rating: 4.375
Pret: 89.0

1650 Butternut Squash and Radicchio Pappardelle :
Rating: 4.375
Pret: 66.0

1651 Butternut Squash and Red Pepper Casserole :
Rating: 4.375
Pret: 48.0

1652 Butternut Squash and Roasted-Garlic Bisque :
Rating: 4.375
Pret: 83.0

1653 Butternut Squash and Rutabaga Purée :
Rating: 4.375
Pret: 23.0

1654 Butternut Squash and Sage Orzo :
Rating: 4.375
Pret: 27.0

1655 Butternut Squash and White Bean Soup :
Rating: 3.75
Pret: 52.0

1656 Butternut Squash with Shallots and Sage :
Rating: 4.375
Pret: 60.0

1657 Butternut Squash with Tangerine and Sage Glaze :
Rating: 3.75
Pret: 71.0

1658 Butternut Squash-Parsnip Soup with Thyme :
Rating: 4.375
Pret: 98.0

1659 Butternut-Corn Chowder with Goat Cheese Croutons :
Rating: 4.375
Pret: 38.0

1660 Butterscotch Blondie Bars With Peanut-Pretzel Caramel :
Rating: 3.75
Pret: 67.0

1661 Butterscotch Budino with Whipped Crème Fraîche :
Rating: 4.375
Pret: 82.0

1662 Butterscotch Chiffon Pie :
Rating: 3.125
Pret: 88.0

1663 Butterscotch Pie with Curry Crust :
Rating: 3.75
Pret: 44.0

1664 Butterscotch Sauce :
Rating: 3.75
Pret: 99.0

1665 Buttery Barley Risotto with Parmesan Cheese :
Rating: 4.375
Pret: 86.0

1666 Buttery Cayenne Pecans :
Rating: 5.0
Pret: 20.0

1667 Buttery Cornbread :
Rating: 4.375
Pret: 61.0

1668 Buttery Pie Crust :
Rating: 3.75
Pret: 11.0

1669 Buttery Roast Chicken :
Rating: 3.75
Pret: 58.0

1670 Buttery Steamed Mussels with Sake and Chiles :
Rating: 4.375
Pret: 50.0

1671 Buttery Sugar Cookies :
Rating: 3.75
Pret: 48.0

1672 Béarnaise Butter :
Rating: 4.375
Pret: 44.0

1673 Béarnaise Sauce :
Rating: 5.0
Pret: 98.0

1674 Cabbage Salad with Mustard Vinaigrette :
Rating: 3.125
Pret: 96.0

1675 Cabbage Slaw :
Rating: 4.375
Pret: 52.0

1676 Cabbage Soup with Apples and Thyme :
Rating: 4.375
Pret: 58.0

1677 Cabbage and Apple Slaw :
Rating: 1.25
Pret: 54.0

1678 Cabbage and Apple Slaw with Butter-Toasted Pecans :
Rating: 3.75
Pret: 25.0

1679 Cabbage and Celery Root Slaw with Cider-Dijon Dressing :
Rating: 3.75
Pret: 86.0

1680 Cabbage and Corn Slaw with Cilantro and Orange Dressing :
Rating: 4.375
Pret: 62.0

1681 Cabbage and Jicama Slaw :
Rating: 5.0
Pret: 88.0

1682 Cabbage and Tomato Slaw with Sherry-Mustard Viniagrette :
Rating: 3.75
Pret: 59.0

1683 Cabbage and White Bean Soup :
Rating: 3.125
Pret: 61.0

1684 Cabbage with Shredded Pork-Chinese Style :
Rating: 3.125
Pret: 29.0

1685 Cabernet-Cranberry Sauce with Figs :
Rating: 4.375
Pret: 68.0

1686 Caesar Mayonnaise Dressing :
Rating: 4.375
Pret: 87.0

1687 Caesar Pasta Salad :
Rating: 3.75
Pret: 97.0

1688 Caesar Potato Salad with Grilled Red Onion :
Rating: 3.75
Pret: 97.0

1689 Caesar Salad :
Rating: 0.0
Pret: 69.0

1690 Café Azul's Pastry Dough :
Rating: 5.0
Pret: 41.0

1691 Café Brenda Black Bean Vegetable Chili :
Rating: 3.125
Pret: 66.0

1692 Café Brulot :
Rating: 5.0
Pret: 47.0

1693 Café Brûlot :
Rating: 5.0
Pret: 63.0

1694 Café Iguana Margarita :
Rating: 5.0
Pret: 74.0

1695 Café con Leche and Chocolate Cheesecake :
Rating: 3.75
Pret: 21.0

1696 Café de Paris :
Rating: 0.0
Pret: 12.0

1697 Cajeta Flan :
Rating: 4.375
Pret: 91.0

1698 Cajun Chicken with Capers and Lemon :
Rating: 3.75
Pret: 17.0

1699 Cajun Corn Bread Stuffing :
Rating: 4.375
Pret: 68.0

1700 Cajun Seafood Pasta :
Rating: 5.0
Pret: 98.0

1701 Cajun Shrimp Stew :
Rating: 3.75
Pret: 86.0

1702 Cajun Shrimp Tacos with Tomatillo Salsa :
Rating: 3.75
Pret: 24.0

1703 Cajun-Style White Rice :
Rating: 3.125
Pret: 96.0

1704 Cal-Asian Seared Tuna Sandwiches :
Rating: 3.75
Pret: 84.0

1705 Calabrian Chile Butter :
Rating: 0.0
Pret: 18.0

1706 Calabrian Chile Oil :
Rating: 3.75
Pret: 34.0

1707 Calamari Fritti with Creamy Ponzu Dipping Sauce :
Rating: 3.75
Pret: 39.0

1708 Calamari Salad with Passion-Fruit Dressing :
Rating: 3.125
Pret: 47.0

1709 Calamari with Roasted Tomato Sauce :
Rating: 4.375
Pret: 20.0

1710 Calamari-Olive Salad :
Rating: 3.75
Pret: 30.0

1711 Calcutta Lobster in Spinach and Yogurt Sauce :
Rating: 3.75
Pret: 76.0

1712 Caldo Tlalpeno :
Rating: 3.75
Pret: 12.0

1713 Calf's Liver with Apples and Onions :
Rating: 4.375
Pret: 62.0

1714 California Date Shakes :
Rating: 5.0
Pret: 53.0

1715 California Vegetable and Chickpea Chili :
Rating: 3.75
Pret: 94.0

1716 Calvados Applesauce :
Rating: 4.375
Pret: 73.0

1717 Calvados Tarte Tatin :
Rating: 4.375
Pret: 74.0

1718 Calzones With Chorizo and Kale :
Rating: 4.375
Pret: 27.0

1719 Camembert Fondue with Truffle Essence :
Rating: 2.5
Pret: 95.0

1720 Cameron's Kick :
Rating: 0.0
Pret: 52.0

1721 Campari Affogato With Lemon Sorbet :
Rating: 0.0
Pret: 82.0

1722 Campari Champagne Cocktail :
Rating: 0.0
Pret: 69.0

1723 Campari Citrus Cooler :
Rating: 3.125
Pret: 99.0

1724 Campari and Grapefruit Ice Pops :
Rating: 5.0
Pret: 50.0

1725 Canal House Teriyaki Sauce :
Rating: 5.0
Pret: 61.0

1726 Candied Butternut Squash :
Rating: 3.75
Pret: 11.0

1727 Candied Carrot Coins :
Rating: 0.0
Pret: 100.0

1728 Candied Carrot Curls :
Rating: 3.75
Pret: 56.0

1729 Candied Cashews :
Rating: 5.0
Pret: 32.0

1730 Candied Citrus Peel :
Rating: 4.375
Pret: 80.0

1731 Candied Ginger-Cardamom Bars :
Rating: 4.375
Pret: 23.0

1732 Candied Grapefruit Zest :
Rating: 5.0
Pret: 50.0

1733 Candied Kumquats :
Rating: 4.375
Pret: 67.0

1734 Candied Lemon Peel Ice Cream with Strawberry Compote :
Rating: 4.375
Pret: 20.0

1735 Candied Lemon Peels :
Rating: 2.5
Pret: 17.0

1736 Candied Nuts with Smoked Almonds :
Rating: 4.375
Pret: 33.0

1737 Candied Orange Zest :
Rating: 3.125
Pret: 30.0

1738 Candied Sweet Potatoes :
Rating: 3.75
Pret: 25.0

1739 Candied Sweet-Potato Purée :
Rating: 3.75
Pret: 63.0

1740 Candied Walnut Charoset :
Rating: 4.375
Pret: 81.0

1741 Candied Walnuts :
Rating: 4.375
Pret: 32.0

1742 Candied-Fruit Pastry Cream :
Rating: 3.75
Pret: 38.0

1743 Cannellini with Pork and Rosemary :
Rating: 3.75
Pret: 86.0

1744 Cannoli Cheesecake :
Rating: 3.75
Pret: 43.0

1745 Cantaloupe Aqua Fresca with Beet Swirl :
Rating: 3.75
Pret: 40.0

1746 Cantaloupe Basil Salsa :
Rating: 3.75
Pret: 56.0

1747 Cantaloupe Conserve :
Rating: 3.125
Pret: 72.0

1748 Cantaloupe Granita :
Rating: 3.75
Pret: 48.0

1749 Cantaloupe Raspberry Shake :
Rating: 0.0
Pret: 74.0

1750 Cantaloupe Sherbet :
Rating: 4.375
Pret: 14.0

1751 Cantaloupe Sorbet with Melon Confetti Compote :
Rating: 4.375
Pret: 23.0

1752 Cantaloupe Soup :
Rating: 3.75
Pret: 95.0

1753 Cantaloupe and Pancetta Cream Sauce for Pasta :
Rating: 5.0
Pret: 39.0

1754 Cantaloupe and Prosciutto with Basil Oil :
Rating: 4.375
Pret: 27.0

1755 Cantaloupe-Basil Agua Fresca :
Rating: 0.0
Pret: 79.0

1756 Canton Ginger Kick :
Rating: 5.0
Pret: 21.0

1757 Cape Codder :
Rating: 0.0
Pret: 39.0

1758 Capellini with Salmon and Lemon-Dill-Vodka Sauce :
Rating: 4.375
Pret: 63.0

1759 Caper-Saffron Mayonnaise :
Rating: 1.25
Pret: 77.0

1760 Caponata :
Rating: 5.0
Pret: 40.0

1761 Caponatina Toasts :
Rating: 3.125
Pret: 55.0

1762 Cappuccino Brownies :
Rating: 4.375
Pret: 76.0

1763 Cappuccino Brownies with White Chocolate-Espresso Sauce :
Rating: 4.375
Pret: 59.0

1764 Cappuccino Cheesecake :
Rating: 4.375
Pret: 45.0

1765 Cappuccino Creams :
Rating: 4.375
Pret: 75.0

1766 Capucine :
Rating: 5.0
Pret: 31.0

1767 Caramel Apple Pastis :
Rating: 3.75
Pret: 67.0

1768 Caramel Apple Shortcakes :
Rating: 4.375
Pret: 52.0

1769 Caramel Chocolate Ganache :
Rating: 5.0
Pret: 38.0

1770 Caramel Corn Blondies :
Rating: 5.0
Pret: 30.0

1771 Caramel Custards with Ginger (Cremes Caramels au Gingembre) :
Rating: 3.75
Pret: 61.0

1772 Caramel Macadamia Nut Crunch :
Rating: 1.25
Pret: 54.0

1773 Caramel Mousse Napoleon with Caramel Sauce and Berries :
Rating: 4.375
Pret: 50.0

1774 Caramel Nut Tart :
Rating: 3.75
Pret: 12.0

1775 Caramel Pears :
Rating: 0.0
Pret: 59.0

1776 Caramel Pecan Cakes :
Rating: 4.375
Pret: 86.0

1777 Caramel Sauce :
Rating: 5.0
Pret: 84.0

1778 Caramel-Apple Tartlets with Cinnamon-Rum Ice Cream :
Rating: 3.75
Pret: 36.0

1779 Caramel-Dipped Popovers with Chocolate Mousse :
Rating: 2.5
Pret: 86.0

1780 Caramel-Glazed Walnut Cake :
Rating: 1.25
Pret: 90.0

1781 Caramel-Nut Tart :
Rating: 3.125
Pret: 44.0

1782 Caramel-Orange Bûche de Noël :
Rating: 4.375
Pret: 56.0

1783 Caramel-Orange Sauce :
Rating: 3.125
Pret: 60.0

1784 Caramel-Peanut Butter Mousse Tart :
Rating: 4.375
Pret: 36.0

1785 Caramel-Pecan Bûche de Noël :
Rating: 4.375
Pret: 26.0

1786 Caramel-Pistachio Torte with Halvah and Dark Chocolate :
Rating: 3.125
Pret: 100.0

1787 Caramel-Pumpkin Pie with Mincemeat Ice Cream :
Rating: 3.75
Pret: 94.0

1788 Caramel-Swirl Hot Chocolate :
Rating: 4.375
Pret: 81.0

1789 Caramelized Apple and Pear Pie :
Rating: 4.375
Pret: 75.0

1790 Caramelized Apples :
Rating: 4.375
Pret: 97.0

1791 Caramelized Banana with Rum Sauce :
Rating: 4.375
Pret: 24.0

1792 Caramelized Bananas :
Rating: 5.0
Pret: 59.0

1793 Caramelized Bananas and Vanilla Cream in Phyllo Cups :
Rating: 0.0
Pret: 96.0

1794 Caramelized Chestnuts :
Rating: 2.5
Pret: 78.0

1795 Caramelized Chipotle Chicken :
Rating: 4.375
Pret: 10.0

1796 Caramelized Figs with Vanilla Ice Cream and Aged Balsamic Vinegar :
Rating: 3.75
Pret: 39.0

1797 Caramelized Fresh Pineapple Tiramisu :
Rating: 4.375
Pret: 88.0

1798 Caramelized Nut Tart :
Rating: 4.375
Pret: 52.0

1799 Caramelized Nuts :
Rating: 4.375
Pret: 27.0

1800 Caramelized Onion and Chestnut Stuffing :
Rating: 3.75
Pret: 28.0

1801 Caramelized Onion and Goat Cheese Tarts :
Rating: 3.75
Pret: 68.0

1802 Caramelized Onion and Portobello Mushroom Soup with Goat Cheese Croutons :
Rating: 4.375
Pret: 86.0

1803 Caramelized Onion and Roasted Red Pepper Linguine :
Rating: 4.375
Pret: 53.0

1804 Caramelized Onion and Sour Cream Spread :
Rating: 3.75
Pret: 91.0

1805 Caramelized Onions :
Rating: 0.0
Pret: 58.0

1806 Caramelized Onions with Barbecue Sauce :
Rating: 4.375
Pret: 36.0

1807 Caramelized Pineapple Sundaes with Chocolate-Coconut Sauce :
Rating: 4.375
Pret: 57.0

1808 Caramelized Pineapple with Brown Sugar-Ginger Ice Cream :
Rating: 5.0
Pret: 52.0

1809 Caramelized Plums with Lemon-Gingersnap Yogurt :
Rating: 1.25
Pret: 88.0

1810 Caramelized Potatoes :
Rating: 3.75
Pret: 36.0

1811 Caramelized Walnuts :
Rating: 4.375
Pret: 52.0

1812 Caramelized-Honey Nut and Seed Tart :
Rating: 0.0
Pret: 52.0

1813 Caramelized-Nectarine and Ginger Shortcakes with Sour Cream :
Rating: 4.375
Pret: 77.0

1814 Caramelized-Onion Dip with Cilantro-Garlic Pita Crisps :
Rating: 3.125
Pret: 70.0

1815 Caramelized-Onion Pizza with Mushrooms :
Rating: 4.375
Pret: 35.0

1816 Caramelized-Onion Tartlets :
Rating: 4.375
Pret: 35.0

1817 Caramelized-Onion and Parmesan Cream Scones :
Rating: 4.375
Pret: 59.0

1818 Caramelized-Onion and Wine-Braised Brisket with Glazed Vegetables :
Rating: 5.0
Pret: 92.0

1819 Caramelized-Shallot Mashed Potatoes :
Rating: 4.375
Pret: 90.0

1820 Caraway Cabbage Chips with Dill Yogurt :
Rating: 2.5
Pret: 66.0

1821 Caraway Parsley Potatoes :
Rating: 4.375
Pret: 91.0

1822 Caraway Rice Cakes :
Rating: 3.125
Pret: 74.0

1823 Caraway-Crusted Pork Chops :
Rating: 3.75
Pret: 74.0

1824 Cardamom Ambrosia Salad with Blue Cheese Dressing :
Rating: 0.0
Pret: 30.0

1825 Cardamom Apple Almond Cake :
Rating: 3.75
Pret: 64.0

1826 Cardamom Chai :
Rating: 3.75
Pret: 60.0

1827 Cardamom Crescents :
Rating: 5.0
Pret: 41.0

1828 Cardamom Pound Cake :
Rating: 3.125
Pret: 16.0

1829 Cardamom Rice Pudding (Payasam) :
Rating: 3.75
Pret: 73.0

1830 Cardamom Spice Blend :
Rating: 0.0
Pret: 35.0

1831 Cardamom Yogurt Pudding with Orange and Cinnamon Honey Syrup :
Rating: 4.375
Pret: 23.0

1832 Cardamom and Lemon Rice Pudding :
Rating: 0.0
Pret: 34.0

1833 Cardamom-Almond Custard :
Rating: 4.375
Pret: 91.0

1834 Cardamom-Scented Grass-Fed Rib Steak with Herb Vinaigrette :
Rating: 4.375
Pret: 19.0

1835 Cargamanto and Green-Bean Salad with Chimichurri Dressing :
Rating: 0.0
Pret: 52.0

1836 Caribbean Chicken Breasts :
Rating: 5.0
Pret: 62.0

1837 Caribbean Christmas Pudding with Brandy Butter :
Rating: 4.375
Pret: 33.0

1838 Caribbean Coconut Curry Sauce :
Rating: 3.75
Pret: 14.0

1839 Caribbean Succotash :
Rating: 1.875
Pret: 74.0

1840 Caribbean-Style Black Bean and Rice Salad :
Rating: 3.75
Pret: 95.0

1841 Carnation Lemon Bars :
Rating: 0.0
Pret: 53.0

1842 Carnitas Tacos with Green Onion Rajas :
Rating: 4.375
Pret: 66.0

1843 Carolina Mustard Sauce :
Rating: 4.375
Pret: 35.0

1844 Carolina-Style Pork BBQ Sandwiches :
Rating: 5.0
Pret: 58.0

1845 Carom Seeds Poori :
Rating: 0.0
Pret: 20.0

1846 Carrot Avocado Salad :
Rating: 4.375
Pret: 76.0

1847 Carrot Cake :
Rating: 4.375
Pret: 59.0

1848 Carrot Cake Smoothie :
Rating: 5.0
Pret: 79.0

1849 Carrot Cake with Cream Cheese Frosting :
Rating: 3.125
Pret: 11.0

1850 Carrot Cake with Cream Cheese-Lemon Zest Frosting :
Rating: 3.75
Pret: 37.0

1851 Carrot Cake with Maple-Cream Cheese Icing :
Rating: 5.0
Pret: 26.0

1852 Carrot Cake with Marmalade Cream Cheese Frosting :
Rating: 5.0
Pret: 98.0

1853 Carrot Cardamom Soup :
Rating: 4.375
Pret: 95.0

1854 Carrot Cupcakes with Ginger-Cream Cheese Icing :
Rating: 4.375
Pret: 31.0

1855 Carrot Cupcakes with Molasses Cream Cheese Icing :
Rating: 4.375
Pret: 88.0

1856 Carrot Cupcakes with Orange Icing :
Rating: 4.375
Pret: 70.0

1857 Carrot Fennel Soup :
Rating: 4.375
Pret: 58.0

1858 Carrot Ginger Dressing :
Rating: 4.375
Pret: 94.0

1859 Carrot Pudding :
Rating: 4.375
Pret: 61.0

1860 Carrot Purée :
Rating: 4.375
Pret: 63.0

1861 Carrot Salad with Oregano and Cumin :
Rating: 3.75
Pret: 87.0

1862 Carrot Salad with Yogurt and Coriander :
Rating: 0.0
Pret: 78.0

1863 Carrot Soup :
Rating: 3.75
Pret: 35.0

1864 Carrot Soup with Sesame Seeds and Chives :
Rating: 4.375
Pret: 10.0

1865 Carrot Soup with Star Anise :
Rating: 3.125
Pret: 67.0

1866 Carrot Soup with Thyme and Fennel :
Rating: 4.375
Pret: 56.0

1867 Carrot Tart With Ricotta and Almond Filling :
Rating: 4.375
Pret: 95.0

1868 Carrot Tart with Ricotta and Herbs :
Rating: 0.0
Pret: 43.0

1869 Carrot and Beet Salad with Ginger Vinaigrette :
Rating: 4.375
Pret: 11.0

1870 Carrot and Beet Slaw with Pistachios and Raisins :
Rating: 5.0
Pret: 73.0

1871 Carrot and Bell Pepper Slaw :
Rating: 3.75
Pret: 100.0

1872 Carrot and Cranberry Salad with Fresh Ginger Dressing :
Rating: 3.75
Pret: 27.0

1873 Carrot and Potato Purée :
Rating: 4.375
Pret: 17.0

1874 Carrot and Radish Salad :
Rating: 2.5
Pret: 52.0

1875 Carrot and Squash Ribbons :
Rating: 3.125
Pret: 18.0

1876 Carrot with Toasted Almond Soup :
Rating: 4.375
Pret: 88.0

1877 Carrot-Almond Cake with Brandied Whipped Cream :
Rating: 4.375
Pret: 18.0

1878 Carrot-Banana Cake :
Rating: 4.375
Pret: 23.0

1879 Carrot-Beef Sushi with Caper-Basil Mustard :
Rating: 4.375
Pret: 88.0

1880 Carrot-Coconut Cupcakes with Cream Cheese Frosting :
Rating: 4.375
Pret: 85.0

1881 Carrot-Ginger Elixir :
Rating: 5.0
Pret: 32.0

1882 Carrot-Ginger Tea Bread :
Rating: 4.375
Pret: 100.0

1883 Carrot-Orange Cake with Cream Cheese Frosting :
Rating: 3.75
Pret: 46.0

1884 Carrot-Rice Soup :
Rating: 4.375
Pret: 56.0

1885 Carrot-Walnut Bundt Cake with Lemon Cream Cheese Icing :
Rating: 3.75
Pret: 42.0

1886 Carrots and Rutabagas with Lemon and Honey :
Rating: 4.375
Pret: 39.0

1887 Carrots with Almond Purée :
Rating: 3.75
Pret: 78.0

1888 Carroty Mac and Cheese :
Rating: 4.375
Pret: 98.0

1889 Caruso :
Rating: 0.0
Pret: 75.0

1890 Cashew Mousse :
Rating: 2.5
Pret: 22.0

1891 Cashew Orange Biscotti :
Rating: 3.75
Pret: 30.0

1892 Cashew Soup :
Rating: 3.75
Pret: 50.0

1893 Cashew-Coconut Tart in Chocolate Crust :
Rating: 3.75
Pret: 34.0

1894 Cassata Cake :
Rating: 4.375
Pret: 58.0

1895 Casserole of Turkey with Rice :
Rating: 3.125
Pret: 24.0

1896 Cassis-Spiked Cranberry Sauce :
Rating: 3.125
Pret: 24.0

1897 Cassoulet :
Rating: 4.375
Pret: 93.0

1898 Cassoulet Soup :
Rating: 4.375
Pret: 15.0

1899 Cassoulet in the Style of Toulouse (Cassoulet de Toulouse) :
Rating: 3.75
Pret: 33.0

1900 Catalan Spinach :
Rating: 3.75
Pret: 42.0

1901 Catfish and Okra with Pecan Butter Sauce :
Rating: 3.75
Pret: 48.0

1902 Catfish in Spicy Tomato Sauce :
Rating: 4.375
Pret: 46.0

1903 Catfish with Green Olives :
Rating: 3.75
Pret: 47.0

1904 Catfish with Herbed Lemon Cream :
Rating: 3.75
Pret: 45.0

1905 Cauliflower Caraway Potato Soup :
Rating: 3.75
Pret: 10.0

1906 Cauliflower Cheddar Gratin with Horseradish Crumbs :
Rating: 4.375
Pret: 20.0

1907 Cauliflower Maque Choux :
Rating: 3.125
Pret: 95.0

1908 Cauliflower Purée :
Rating: 3.125
Pret: 24.0

1909 Cauliflower Purée and Caviar on Cloverleaf Potato Chips :
Rating: 4.375
Pret: 74.0

1910 Cauliflower Risotto with Brie and Almonds :
Rating: 4.375
Pret: 43.0

1911 Cauliflower Salad with Olives and Capers :
Rating: 3.75
Pret: 16.0

1912 Cauliflower Soup with Almonds :
Rating: 3.75
Pret: 82.0

1913 Cauliflower Soup with Chive Oil and Rye Crostini :
Rating: 3.75
Pret: 56.0

1914 Cauliflower Soup with Thyme Croutons :
Rating: 3.125
Pret: 94.0

1915 Cauliflower Soup with White Truffle Oil :
Rating: 4.375
Pret: 69.0

1916 Cauliflower and Brussels Sprout Gratin with Pine Nut-Breadcrumb Topping :
Rating: 3.125
Pret: 17.0

1917 Cauliflower and Caramelized Onion Tart :
Rating: 4.375
Pret: 63.0

1918 Cauliflower and Chickpea Curry :
Rating: 3.75
Pret: 100.0

1919 Cauliflower and Leek Risotto :
Rating: 3.75
Pret: 50.0

1920 Cauliflower and Spinach Vinaigrette :
Rating: 4.375
Pret: 89.0

1921 Cauliflower with Ginger and Mustard Seeds :
Rating: 3.125
Pret: 57.0

1922 Cauliflower with Horseradish Sauce :
Rating: 3.75
Pret: 44.0

1923 Cauliflower with Serrano Ham and Tomato :
Rating: 3.125
Pret: 52.0

1924 Cauliflower with Tarator Sauce :
Rating: 3.75
Pret: 93.0

1925 Cauliflower-Leek Kugel with Almond-Herb Crust :
Rating: 4.375
Pret: 49.0

1926 Cauliflower-Leek Purée :
Rating: 3.125
Pret: 13.0

1927 Cavatappi with Butternut Squash :
Rating: 3.75
Pret: 55.0

1928 Cavatelli Salad with Artichokes and Goat Cheese :
Rating: 3.75
Pret: 78.0

1929 Cavatelli with Italian Sausage and Brocolli Rabe :
Rating: 5.0
Pret: 18.0

1930 Caviar Tart :
Rating: 4.375
Pret: 26.0

1931 Caviar and Salmon Blini Tortes :
Rating: 4.375
Pret: 53.0

1932 Cawl :
Rating: 3.75
Pret: 10.0

1933 Cayenne Corn Bread Sticks :
Rating: 4.375
Pret: 14.0

1934 Ceciarchiata Taiglach :
Rating: 3.75
Pret: 41.0

1935 Cecil Pick-Me-Up :
Rating: 3.75
Pret: 93.0

1936 Cedar-Planked Char with Wood-Grilled Onions :
Rating: 2.5
Pret: 55.0

1937 Celeriac Mash :
Rating: 3.75
Pret: 23.0

1938 Celery Apple Gazpacho :
Rating: 4.375
Pret: 68.0

1939 Celery Rice Pilaf with Caraway :
Rating: 2.5
Pret: 51.0

1940 Celery Root Bisque with Duck Confit and Cracklings :
Rating: 3.75
Pret: 18.0

1941 Celery Root Bisque with Thyme Croutons :
Rating: 4.375
Pret: 19.0

1942 Celery Root Hash :
Rating: 5.0
Pret: 68.0

1943 Celery Root Mashed Potatoes :
Rating: 3.75
Pret: 89.0

1944 Celery Root Purée :
Rating: 5.0
Pret: 60.0

1945 Celery Root Risotto and Pesto :
Rating: 4.375
Pret: 11.0

1946 Celery Root Rémoulade and Pan-Seared Sea Scallops :
Rating: 4.375
Pret: 73.0

1947 Celery Root Soup :
Rating: 2.5
Pret: 32.0

1948 Celery Salad :
Rating: 5.0
Pret: 28.0

1949 Celery Salad With Celery Root And Horseradish :
